DEMO_Org,DEMO_meeting_remote,DEMO_Dept,OBSV_PreC_Location_A_primryoffice,OBSV_PreC_Location_B_officeother,OBSV_PreC_Location_C_client,OBSV_PreC_Location_D_WFH,OBSV_PreC_Location_E_publicspace,OBSV_PreC_Location_F_transit,OBSV_PreC_Location_G_other,OBSV_Now_Interact_Work_within_org,OBSV_PreC_meeting_A_inperson,OBSV_PreC_meeting_B_hyrbid,OBSV_PreC_meeting_C_remote,OBSV_PreC_interative_A_inperson,OBSV_PreC_interative_B_remote,OBSV_same_space_count_A_1,OBSV_same_space_count_B_2n3,OBSV_same_space_count_C_4n9,OBSV_same_space_count_D_10p,OBSV_PreC_meetingsize0ffice_A_1,OBSV_PreC_meetingsize0ffice_B_2n3,OBSV_PreC_meetingsize0ffice_C_4n9,OBSV_PreC_wiOffice_A_desk,OBSV_PreC_wiOffice_B_otherdeck,OBSV_PreC_wiOffice_C_meetingrm,OBSV_PreC_wiOffice_D_lobby,OBSV_PreC_wiOffice_E_speicaltyarea,OBSV_PreC_wiOffice_F_other,OBSV_PreC_space_A_InformalMtg,OBSV_PreC_space_B_FormalMtg,OBSV_PreC_5A_lost_layout,OBSV_PreC_5B_lost_looking,OBSV_PreC_5C_lost_perstech,OBSV_PreC_5D_lost_roomtech,OBSV_PreC_5E_lost_visitors,OBSV_PreC_5F_lost_noise,OBSV_PreC_5G_lost_comms,OBSV_PreC_5H_lost_ergo,OBSV_PreC_5I_lost_temp,OBSV_PreC_5J_lost_odor,OBSV_PreC_5K_lost_natlight,OBSV_PreC_5L_lost_indoorlight,PostC_impact_RankDifficult_A_MH,PostC_impact_RankDifficult_B_community,PostC_impact_RankDifficult_C_Communication,PostC_impact_RankDifficult_D_Tech,PostC_impact_RankDifficult_E_space,PostC_impact_RankDifficult_F_Environment,PostC_impact_shift_D_videoconf,PostC_impact_shift_E_innovate,DECSN_factors_E_commutelength,DECSN_factors_F_collabtools,DECSN_factors_G_concentrate,DECSN_factors_H_purpose,DECSN_factors_I_coworkerspresence,DECSN_factors_J_teampresence,DECSN_factors_K_socialevents,DECSN_factors_L_community,DECSN_factors_M_metorship,DECSN_factors_N_neighorhood,DECSN_factors_O_food,DECSN_factors_P_family,DECSN_factors_Q_leadership,PREF_space_A_focusedWk,PREF_Envr_Focus_1A_activity,PREF_Envr_Focus_1B_closure,PREF_Envr_Focus_1C_remote,PREF_Envr_Focus_1D_color,PREF_Envr_Focus_1E_light,PREF_Envr_Focus_1F_formality,PREF_Envr_Focus_1H_energy,PREF_Envr_Collab_2A_activity,PREF_Envr_Collab_2B_closure,PREF_Envr_Collab_2C_remote,PREF_Envr_Collab_2D_color,PREF_Envr_Collab_2E_light,PREF_Envr_Collab_2F_formality,PREF_Envr_Collab_2H_energy,PREF_features_A_chair,PREF_features_B_proximitry,PREF_features_C_concentration,PREF_features_D_privacy,PREF_features_E_noise,PREF_features_F_daylight,PREF_features_G_light,PREF_features_H_nature,PREF_features_I_Sychro,PREF_features_J_collabspace,PREF_features_K_temp,PREF_features_L_clean,PREF_features_M_lockers,PREF_features_N_events,PREF_features_O_food,PREF_features_Q_kitchen,PREF_features_R_gym,PREF_features_S_relax,PREF_features_T_greenspace,PREF_CollabSpace_A_tech,PREF_CollabSpace_B_software,PREF_CollabSpace_C_CollabTools,PREF_CollabSpace_D_furniture,PREF_CollabSpace_E_seating,PREF_CollabSpace_F_naturallight,PREF_CollabSpace_G_acoustics,SATSF_CollabSpace_A_Tech,SATSF_CollabSpace_B_software,SATSF_CollabSpace_C_CollabTools,SATSF_CollabSpace_D_furniture,SATSF_CollabSpace_E_seating,SATSF_CollabSpace_F_naturallight,SATSF_CollabSpace_G_acoustics,SATSF_HomeOffice_A_Tech,SATSF_HomeOffice_B_software,SATSF_HomeOffice_C_CollabTools,SATSF_HomeOffice_D_furniture,SATSF_HomeOffice_E_seating,SATSF_HomeOffice_F_naturallight,SATSF_HomeOffice_G_acoustics,SATSF_office_A_community,SATSF_office_B_designexcellence,SATSF_office_C_pride,SATSF_office_D_expressme,SATSF_office_E_control,SATSF_office_F_wellbeing,SATSF_office_G_myfamily,SATSF_office_H_customers,SATSF_office_I_orgcullture,SATSF_office_J_knowledgeshare,SATSF_office_K_planet,SATSF_facilitate_Home_1A_focus,SATSF_facilitate_Home_1B_inpersoncollab,SATSF_facilitate_Home_1C_virtualcollab,SATSF_facilitate_Office_2A_focus,SATSF_facilitate_Office_2B_inpersoncollab,SATSF_facilitate_Office_2C_virtualcollab,SATSF_facilitate_HomeTech_3A_virtualcollab,SATSF_facilitate_HomeTech_3B_inpersoncollab,SATSF_facilitate_HomeTech_3C_virtualcollab,SATSF_facilitate_OfficeTech_4A_virtualcollab,SATSF_facilitate_OfficeTech_4B_inpersoncollab,SATSF_facilitate_OfficeTech_4C_virtualcollab,WP_Featr_office_A_community,WP_Featr_office_B_designexcellence,WP_Featr_office_C_pride,WP_Featr_office_D_expressme,WP_Featr_office_E_control,WP_Featr_office_F_wellbeing,WP_Featr_office_G_myfamily,WP_Featr_office_H_customers,WP_Featr_office_I_oegculture,WP_Featr_office_J_knowledgeshare,WP_Featr_office_K_planet,Etc1_WLB_improved,Etc2_chooseWFH,Etc3_no_workstation,Etc4_justlaptop,Etc5_teamclose,Etc6_connected,Etc7_priorities,Etc8_WFK_efffective,OBSV_PreC_WFH_Days_Wk,DEMO_Tenure_PreC_employee,PREF_WFK_rate_home,PostC_impact_shift_A_focus,PostC_impact_shift_B_productive,PostC_impact_shift_C_collab,PostC_impact_shift_F_colleagueaccess,PostC_impact_shift_G_teammeetings,PostC_impact_shift_H_social,PostC_impact_shift_I_managersconnect,PostC_impact_shift_J_client,PostC_impact_shift_K_enjoy,DECSN_factors_A_noinpersonmtgs,DECSN_factors_B_healthwellness,DECSN_factors_C_WrkLifeSep,DECSN_factors_D_safety,OBSV_Now_WrkTimeA_Indiv_fract_vCollab,OBSV_PreC_meetingsize0ffice_D_10plus,PREF_space_B_inperson_collab,PREF_space_C_videoconf,PREF_space_D_impromptu,PREF_space_E_recharge,PREF_space_F_accessible,PREF_space_G_firstarrive
Org 2,NA,Accounting,0.8,NA,NA,0.2,NA,NA,NA,NA,0.25,0.5,0.25,NA,NA,0.5,0.25,0.25,0,NA,NA,NA,0.6,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4,2.5,5,NA,4,5,5,NA,NA,5,2.5,NA,2.5,5,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Important,NA,NA,NA,NA,NA,NA,Very important,NA,NA,Neutral,Very unimportant,Important,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,Dissatisfied,Neutral,Neutral,Neutral,NA,NA,Dissatisfied,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,Very important,Very unimportant,Neutral,Very unimportant,NA,NA,NA,Very important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,5,NA,5,4,2.5,4,NA,2.5,4,2.5,0.6,NA,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA
Org 2,NA,Accounting,0.6,NA,NA,0.4,NA,NA,NA,NA,0.1,0.8,0.1,NA,NA,0.7,0.3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,5,2.5,NA,5,5,5,NA,NA,5,2.5,NA,5,5,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Important,NA,NA,NA,NA,NA,NA,Neutral,NA,NA,Unimportant,Unimportant,Important,NA,Very important,Unimportant,Unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,Neutral,Neutral,Neutral,Neutral,NA,NA,Neutral,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,NA,NA,NA,Very important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,2.5,2.5,NA,5,2.5,2.5,4,NA,5,5,2.5,0.7,NA,Workstation,NA,NA,NA,NA,NA
Org 2,NA,Accounting,0.6,NA,NA,0.4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,NA,2.5,NA,2.5,4,4,NA,NA,2.5,NA,NA,NA,2.5,Workstation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,Very unimportant,Very unimportant,Important,NA,Unimportant,Neutral,Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,Neutral,Neutral,Neutral,Neutral,NA,NA,Neutral,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,Neutral,NA,NA,NA,Neutral,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.5,2.5,2.5,NA,2.5,2.5,2.5,1,NA,NA,NA,NA,0.75,NA,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA
Org 2,NA,Accounting,0.5,NA,NA,0.5,NA,NA,NA,NA,0.2,0.4,0.4,NA,NA,0.3,0.6,0.1,NA,NA,NA,NA,0.7,0.25,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1,4,2.5,NA,4,5,5,NA,NA,2.5,2.5,NA,5,2.5,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,NA,NA,NA,NA,NA,NA,Neutral,NA,NA,Unimportant,Important,Unimportant,NA,Unimportant,Unimportant,Important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,Neutral,Neutral,Satisfied,Satisfied,NA,NA,Neutral,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,Neutral,Neutral,NA,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,NA,5,2.5,2.5,1,NA,4,4,2.5,0.7,NA,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA
Org 3,No,Accounting,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.4,0,0,0,0,0,your desk/office,meeting room,0,20,0,0,0,0,0,0,0,0,0,0,2,5,4,0,1,3,NA,2.5,1,4,5,4,NA,4,1,2.5,2.5,2.5,1,5,5,Desk or office,1,10,9,8,10,5,10,4,9,6,9,10,6,10,Important,Important,Very unimportant,Important,Important,Important,Important,Important,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Important,Very important,Very important,Very important,Important,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Important,Very important,Neutral,Important,Very important,Very important,Important,Important,Very important,Very important,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree,5,NA,1,1,1,2.5,2.5,NA,2.5,2.5,2.5,2.5,2.5,5,4,NA,0.875,NA,Elsewhere in the building,Elsewhere in the building,Elsewhere in the building,Elsewhere in the building,Desk or office,Desk or office
Org 3,No,Accounting,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.3,0.1,NA,NA,NA,NA,NA,NA,0.2,0.4,0.2,0.4,0,0,0,0,0,your desk/office,meeting room,50,300,50,50,150,400,300,300,300,350,50,100,4,1,3,5,0,2,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desk or office,1,1,5,1,1,1,1,1,10,1,10,1,1,10,Unimportant,Neutral,Very unimportant,Neutral,Important,Important,Neutral,Important,NA,NA,Important,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Very important,Neutral,Neutral,Important,Important,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Very unimportant,Neutral,Unimportant,Neutral,Important,Important,Neutral,Unimportant,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Neutral,0,NA,0.4,5,5,2.5,2.5,NA,2.5,2.5,4,4,0,2.5,2.5,NA,0.875,0.2,"Semi-enclosed space (nook, booth)","Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Open space (cafe, lounge)","Open space (cafe, lounge)","Open space (cafe, lounge)"
Org 2,NA,Accounting,0.6,NA,NA,0.4,NA,NA,NA,NA,0.7,0.2,0.1,NA,NA,0.9,0.1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4,5,5,NA,5,4,5,NA,NA,5,5,NA,5,5,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,NA,NA,NA,NA,NA,NA,Important,NA,NA,Unimportant,Unimportant,Important,NA,Unimportant,Unimportant,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satisfied,NA,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,Satisfied,Satisfied,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,NA,NA,Neutral,NA,Very important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,5,5,NA,5,5,2.5,2.5,NA,5,5,5,0.8,NA,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA
Org 2,NA,Accounting,0.25,NA,NA,0.7,NA,NA,0.05,NA,0.2,0.7,0.1,NA,NA,0.3,0.3,0.4,NA,NA,NA,NA,0.75,0.1,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,5,2.5,NA,2.5,4,4,NA,NA,4,4,NA,4,4,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,NA,NA,NA,NA,NA,NA,Important,NA,NA,Unimportant,Unimportant,Important,NA,Unimportant,Unimportant,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutral,NA,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,NA,NA,Neutral,Neutral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,NA,4,2.5,2.5,1,NA,5,4,2.5,0.6,NA,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA
Org 3,No,Accounting,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.8,0,NA,NA,NA,NA,NA,NA,0.2,0.1,0.7,0.4,0,0,0,0,0,meeting room,meeting room,60,10,0,10,30,45,20,0,10,0,NA,NA,1,5,4,2,0,3,NA,2.5,4,2.5,4,5,NA,2.5,0,0,0,0,0,1,5,Home,0,0,0,0,1,0,NA,5,7,5,7,6,6,8,Very important,Important,Very unimportant,Important,Very important,Important,Important,Neutral,NA,NA,Important,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Important,Important,Very unimportant,Important,Unimportant,Important,Neutral,Very satisfied,Very satisfied,Neutral,Satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Neutral,Satisfied,Satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Very satisfied,Neutral,Very satisfied,Neutral,Very satisfied,Neutral,Very satisfied,Neutral,Very satisfied,Neutral,Important,Neutral,Very important,Very important,Unimportant,Important,Important,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,0,NA,0.6,0,2.5,2.5,2.5,NA,5,4,4,2.5,4,5,4,NA,0.975,NA,Desk or office,Home,Desk or office,Home,Desk or office,"Open space (cafe, lounge)"
Org 3,Yes,Accounting,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.2,0.1,NA,NA,NA,NA,NA,NA,0.5,0.1,0.35,0.32,0.05,0.03,NA,NA,NA,meeting room,meeting room,0,10,0,5,0,0,10,0,0,0,5,5,5,3,1,0,4,2,NA,4,0,4,5,5,NA,1,4,2.5,1,0,0,1,2.5,Desk or office,1,1,1,8,8,8,4,1,5,4,8,8,5,4,Important,Unimportant,Very unimportant,Important,Very important,Very important,Important,Important,NA,NA,Unimportant,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Important,Important,Important,Important,Important,Very important,Important,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Unsatisfied,Satisfied,Unsatisfied,Satisfied,Satisfied,Unsatisfied,Neutral,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Important,Important,Unimportant,Neutral,Important,Important,Important,Important,Very important,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,1,NA,0.1,5,4,4,2.5,NA,5,5,2.5,5,4,4,4,NA,0.875,NA,"Enclosed room (meeting room, phone room)",Desk or office,"Open space (cafe, lounge)",Anywhere outside the office building,"Semi-enclosed space (nook, booth)",Desk or office
